
 Dupa formatie de studiu: 

1030, Popescu, Bianca, ISM1, 0.0
1024, Mihalcea, Ioan, ISM141/1, 0.0
1025, Popa, Andrei, ISM141/2, 0.0
1026, Prodan, Anamaria, TI131/1, 0.0
1026, Popescu, Bianca, TI131/2, 0.0
1027, Mohanu, Paul, TI132/1, 0.0
1028, Ionescu, Mihai, TI132/2, 0.0

 Dupa nume: 

1026, Prodan, Anamaria, TI131/1, 0.0
1025, Popa, Andrei, ISM141/2, 0.0
1030, Popescu, Bianca, ISM1, 0.0
1026, Popescu, Bianca, TI131/2, 0.0
1024, Mihalcea, Ioan, ISM141/1, 0.0
1028, Ionescu, Mihai, TI132/2, 0.0
1027, Mohanu, Paul, TI132/1, 0.0
